Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005524~ATP binding	440	17.959183673469386	6.14950707584246E-71	Q9NSY0, Q9Y265, O75943, P21802, Q8NB16, Q8IVH8, P49137, A6NM43, Q92614, P52564, Q9H4L7, Q9Y276, Q8NFZ0, Q8NDV3, Q8NE71, Q96PY6, P53779, Q8TDC3, O60333, P49368, O14678, Q9H2G2, P52333, P54753, Q5S007, Q8IYM2, P54756, O60307, P53667, A0AVT1, P0C7P3, O60423, Q86WA8, P54886, Q12851, O95347, Q9H3H1, P54764, P54762, P54760, Q9NQX4, Q9P241, Q5T3U5, Q6UB35, Q9C000, P16452, O60674, O60312, Q9UKX3, P49588, Q9UKX2, Q9NZJ5, P25098, O95477, Q8IY21, Q9Y223, Q7Z4S6, P25092, Q5JTY5, Q08881, P19525, P15056, P61221, Q9BYK8, O14981, Q9Y230, Q92772, P51793, P04049, Q8N139, P51795, Q12756, Q13608, P28370, Q9NR30, Q5JTZ9, Q15904, P51797, Q8WVB6, Q9NPP4, Q8IY18, Q96SB8, Q8NB49, P59045, Q4VNC1, P59044, Q4VNC0, P59047, P59046, Q8N1T3, Q92526, Q9UM54, Q9H2K8, Q13976, Q9H6S0, Q7Z406, O60503, Q68D06, Q92878, P40227, O14647, Q9H1H9, P51451, P29323, Q92989, P29320, P52429, O95382, Q14839, Q38SD2, P30530, Q9NQT8, Q8IUG5, Q9ULV0, O14656, P29317, Q9UL54, Q9UK32, A6NHR9, Q9UM73, P06213, A3KMH1, Q6SA08, Q5JZY3, Q04912, O76082, Q9P2J5, P17948, Q14296, P25205, Q9GZR7, Q9BTU6, P49770, O96017, Q9UQ88, P11055, Q7L7V1, Q9NRP7, Q6ZWH5, Q8WX94, P33076, Q99758, O00329, Q9Y2Q0, O00443, Q9BW92, P11274, O14727, Q96T66, Q00536, P57078, Q00537, Q8IYD8, Q9UPY3, Q96C45, P04626, P04629, Q86UT6, Q01974, Q99973, Q9NR19, Q01973, Q9H6E5, Q00526, O14733, Q58FF7, Q96PN6, O43353, Q9H0A0, Q9Y623, P07947, Q4G0N4, P06737, O00506, Q9Y620, P07949, Q9BQ39, P07948, P50613, Q99570, Q32NB8, Q9Y2K3, Q06187, Q5KSL6, P17987, Q8IZL9, Q9NUQ8, Q99683, P51828, P49336, P08922, P51955, O00750, P51957, Q9NY93, Q9Y6T7, Q8NG68, Q5TCS8, Q9HCE1, Q8NG66, Q8NE28, Q16288, Q8IUA7, Q08462, P50990, P50991, Q92918, Q08345, Q9BZC7, P13010, Q00975, Q96P20, P07814, Q9UIG0, O75037, Q96Q40, P52824, Q07002, Q149N8, Q7L7X3, Q08211, Q9NVV4, Q9NPJ1, Q8WWZ7, Q56UN5, Q92900, Q01814, P56192, Q6PL18, Q15418, Q86W28, Q9Y4K4, Q86W26, O43314, Q86W24, Q7L2E3, Q9BVQ7, P00540, Q9HC98, Q9BXU1, Q9UKE5, Q9Y2H1, Q9NZ71, Q86YV5, Q9Y2H9, P22102, Q6P0Q8, P00533, Q8WXR4, Q16760, Q8TF62, O94921, Q9Y2I7, Q8TAM1, P49915, P42285, O94804, P35749, P35626, Q8TDR2, O75116, P51812, O43306, Q9H015, Q9ULI4, P12882, P12883, Q9Y616, Q8N4C8, Q58A45, Q05932, P20020, Q5H9U9, P98198, O94823, Q6ZN16, P54132, Q3LXA3, O75582, P35579, P10398, P35580, P49619, P48643, Q9H7F0, P49736, Q14012, Q13043, Q6P158, Q15349, O95922, O94832, Q9H078, Q99832, Q8NFM4, Q16566, Q15477, Q13057, P46459, Q8IU85, Q14147, P49961, P14616, Q9Y4I1, Q9NX02, Q9NTI2, P78371, Q9UEW8, Q9BQI3, Q13188, P48506, O95819, Q9BWU1, O15197, Q9BVS4, O75676, P13535, Q9UJA3, P13533, P11362, P35670, Q9NTJ3, Q14164, Q15131, Q13075, P23458, P78363, P48736, A5YM72, Q8NDG6, P98196, Q15375, Q8IZY2, P54577, Q08AF3, Q13873, P28288, P09769, Q2KJY2, P29376, P33992, P33993, P33991, Q9BTE6, P42345, Q06418, Q92698, Q4G0Z9, O75417, Q96SF2, P33981, B7ZC32, Q9H792, Q08828, Q86VH2, Q9UF33, P42694, P42338, P42336, Q9NXL9, Q5D0E6, P29597, O75648, P06239, O15021, Q6XUX3, P35916, Q13535, Q8IWQ3, A7E2Y1, Q13418, Q9UHY1, P40145, Q9UG63, Q86WI3, Q7Z333, O60266, Q7Z695, Q8WYK0, P06241, Q8N165, P07332, P42685, P07333, O95747, Q6ZW61, Q6IEE8, Q13546, Q8IY37, B2RTY4, P43403, P43405, Q8TCG2, P22607, P06493, P05165, P41226, O75747, Q8TD08, Q86UK0, Q7RTR2, Q96H55, Q9UQD0, Q9H2U1, Q86SG6, P30291, Q03468, Q6P3R8, P23743, P35968, Q15746, Q86XP1, P0C1S8, Q9UQE7, Q9HD67, P23634, P46734, Q9HAQ2, Q9NP80, Q9NXH8, Q9NP81, P08581, Q9Y6E0, Q04656, O15457, O95544, Q6PFW1, Q8IWT3, Q7Z478, Q9P289, Q9Y4B4, P42356, Q9Y4B6, Q9HC29, P24941, Q13470, Q9NYL2, P45983, P45984, Q14683	2205	1439	16387	2.272389335627696	9.753118222286141E-68	9.753118222286141E-68	9.390297304811438E-68
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	109	4.448979591836735	7.749927876748156E-18	Q6SA08, Q9NSY0, Q15418, P29376, Q5JZY3, Q9Y4K4, P42345, Q8NB16, Q8IVH8, Q14296, P49137, Q9HC98, P52564, Q9BXU1, O96017, Q9UQ88, Q96PY6, Q9UKE5, P53779, Q86YV5, Q9Y2H1, Q9NRP7, Q8TDC3, Q6ZWH5, Q9UF33, P00533, Q8WXR4, Q5S007, P29597, O94921, Q13535, Q8IWQ3, Q13418, Q8IY49, P53667, Q9UHY1, Q00536, Q7Z695, P57078, Q00537, Q12851, P54764, P35626, Q96C45, P04626, Q13546, P51812, Q01974, P43405, Q8N4C8, Q58A45, O60674, Q01973, P06493, Q00526, O14733, Q9NZJ5, P25098, O00506, P07949, P50613, Q99570, P25092, O75582, P10398, Q06187, P19525, P15056, Q86SG6, Q8IZL9, P30291, Q99683, P49336, Q92772, Q14012, Q13043, Q15349, P04049, P51955, P51957, Q8NG66, P0C1S8, Q16566, P46734, Q9H2K8, Q92759, Q92918, Q08345, P08581, Q9Y6E0, Q9UEW8, Q13188, O95819, Q9BWU1, O15197, Q9BVS4, O95382, Q38SD2, Q9P289, Q07002, Q7L7X3, Q56UN5, Q14164, P24941, Q15131, P48736, Q9UL54, P45984, Q9UK32	2205	350	16387	2.314458049886621	1.2291385612522576E-14	6.145692806261288E-15	5.917069933897217E-15
GOTERM_MF_DIRECT	GO:0005085~guanyl-nucleotide exchange factor activity	52	2.122448979591837	9.836386053848256E-17	Q8N1I0, P10911, Q5VV41, Q9P212, O95398, O94827, Q8IZD9, P49770, O75815, Q9Y2L1, Q13009, Q96BY6, P47871, O15211, Q92608, Q8NF50, Q8N5H7, Q7LDG7, P86790, Q5JSL3, Q9Y6D6, P86791, Q9Y6D5, Q14185, Q92565, P21731, Q07890, O15068, Q12967, Q8WZA2, Q14C86, Q96HP0, Q8IZJ4, Q8TDF6, Q8IVF5, Q96N67, Q96Q42, Q8N1W1, Q07889, Q9UKW4, Q15042, Q9BZ29, Q9H7D0, Q8IV61, Q92556, O95267, Q9NR50, Q13905, Q9H8V3, Q96NW4, Q0VAM2, Q9UHV5, Q8NFG4	2205	112	16387	3.450453514739229	1.7608137170554983E-13	5.2001694271344445E-14	5.006720501408762E-14
GOTERM_MF_DIRECT	GO:0005234~extracellular-glutamate-gated ion channel activity	18	0.7346938775510203	2.3016965309394942E-14	Q13003, Q8TCU5, Q13224, Q14957, P48058, Q9ULK0, P42261, Q05586, Q12879, O43424, P39086, P42263, P42262, O15399, Q16478, O60391, Q13002, Q16099	2205	18	16387	7.431746031746032	3.6448843943048814E-11	9.126226745175094E-12	8.78672650686152E-12
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	100	4.081632653061225	1.4500281200022119E-12	Q6SA08, Q9NSY0, Q15418, Q9Y4K4, P42345, Q8IVH8, Q14296, P49137, Q9HC98, P00540, P52564, Q9BXU1, O96017, Q9UQ88, P33981, Q96PY6, Q9UKE5, Q9Y2H1, Q9NRP7, Q8TDC3, Q6ZWH5, Q9Y2H9, Q6P0Q8, Q8WXR4, P42336, Q9H2G2, Q5S007, O15021, Q13535, Q8IWQ3, Q6XUX3, Q13418, P53667, O60307, Q9UHY1, P11274, Q00536, Q7Z695, P57078, O94804, Q8N165, Q00537, Q12851, Q8TDR2, Q96C45, O95747, O75116, Q13546, P51812, Q9Y616, P43405, Q8N4C8, P06493, Q00526, Q9NZJ5, O43353, P50613, Q99570, O75582, P10398, P19525, P15056, Q86SG6, Q8IZL9, Q99683, Q6P3R8, P49336, Q92772, Q14012, Q13043, Q15349, P04049, P51955, P51957, Q8NG66, Q8NE28, P46734, Q8IU85, Q9H2K8, Q92918, Q13976, Q9Y6E0, Q9UEW8, Q13188, O95819, Q9BWU1, O75676, Q9BVS4, O95382, Q96Q40, Q38SD2, Q07002, Q7L7X3, P24941, Q9NYL2, Q15131, P45983, P48736, Q9UL54, Q9UK32	2205	363	16387	2.0473129564038657	2.2997987958461863E-9	4.5994891966470156E-10	4.4283858784867545E-10
GOTERM_MF_DIRECT	GO:0004970~ionotropic glutamate receptor activity	15	0.6122448979591837	8.027763220576652E-12	Q13003, Q8TCU5, Q14957, P48058, Q9ULK0, P42261, Q05586, Q12879, O43424, P39086, P42263, P42262, O60391, Q13002, Q16099	2205	15	16387	7.431746031746032	1.2732091714262594E-8	2.1220054113057615E-9	2.0430657396367582E-9
GOTERM_MF_DIRECT	GO:0004714~transmembrane receptor protein tyrosine kinase activity	23	0.9387755102040816	1.5595582157447247E-10	P35968, P08922, P54760, P29376, P04626, P07949, P14616, P35916, P04629, Q08345, P30530, P21802, Q01974, Q06418, P08581, P17948, Q01973, Q16288, P00533, P29317, P07333, Q9UM73, P06213	2205	38	16387	4.4981620718462825	2.473458743379453E-7	3.533513328815905E-8	3.4020648506317065E-8
GOTERM_MF_DIRECT	GO:0004713~protein tyrosine kinase activity	46	1.8775510204081631	1.1121430768279806E-9	P52333, P29597, P09769, P06239, P07947, P29376, P07949, P07948, Q6XUX3, Q06187, Q04912, P21802, Q06418, P11274, P08581, P30291, Q9UBW7, P17948, P06241, P07332, P52564, P51451, P54764, P35968, P29323, P08922, Q9UIG0, P04626, P33981, Q96PY6, P30530, P43403, P43405, P11362, O60674, P22607, Q13470, P23458, Q9UF33, P00533, O14733, P29317, P46734, Q9UM73, P06213, Q15375	2205	132	16387	2.58985088985089	1.7638573136524727E-6	2.2048236498114717E-7	2.122803097895408E-7
GOTERM_MF_DIRECT	GO:0004715~non-membrane spanning protein tyrosine kinase activity	24	0.9795918367346939	2.9590370065378846E-9	P52333, O43353, P51451, P29597, P09769, P06239, P07947, Q9UIG0, P07948, Q9H792, Q86YV5, Q08881, Q06187, P19525, P43403, P43405, O60674, P0C1S8, P30291, P06241, Q13470, P07332, P23458, P42685	2205	46	16387	3.8774327122153207	4.6930217011409425E-6	5.214480769298984E-7	5.020499454425944E-7
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	29	1.183673469387755	6.458690132855576E-9	Q8TCU5, Q9Y5S1, Q15878, Q9BXT2, Q9GZU1, Q9HCF6, Q8NET8, Q00975, Q9P0L9, Q8TEL6, Q9NTG1, Q9UL62, Q8TDD5, Q14573, Q9NQA5, Q9H1D0, Q8IVV2, Q9Y210, Q05586, Q12879, Q13507, Q8IZK6, Q7Z443, Q7Z2W7, Q7Z442, Q9UBN4, P48995, O60391, Q6ZUT9	2205	66	16387	3.2654641654641656	1.0243430128120679E-5	1.0243482550708942E-6	9.862419832870462E-7
